RANK,BATTLES,WIN,LOSE,DRAW,SCORE
1,311,272,34,5,682
2,254,221,27,6,671
3,136,123,9,4,616
4,124,115,8,1,597
5,88,81,5,2,559
6,180,115,43,22,505
7,220,161,56,3,492
8,178,137,34,7,491
9,211,160,44,7,484
10,195,124,67,4,437
11,122,95,27,0,435
12,149,113,33,3,427
13,124,99,20,5,425
14,188,126,46,16,407
15,202,117,81,4,403
16,126,94,32,0,398
17,70,53,10,7,394
18,108,80,28,0,389
19,164,105,53,6,387
20,125,85,29,11,374
21,83,63,20,0,365
22,68,54,8,6,364
23,133,94,35,4,363
24,105,75,25,5,358
25,58,46,8,4,358
26,80,57,19,4,354
27,73,56,13,4,353
28,66,47,19,0,351
29,48,43,4,1,348
30,56,45,9,2,346
31,183,115,63,5,345
32,85,55,28,2,344
33,32,30,2,0,344
34,148,95,51,2,341
35,46,36,9,1,340
36,65,48,16,1,339
37,178,118,57,3,337
38,125,82,31,12,337
39,122,80,35,7,332
40,146,85,56,5,330
41,85,60,23,2,330
42,97,66,29,2,327
43,43,37,6,0,327
44,58,43,14,1,326
45,41,33,7,1,326
46,228,146,79,3,324
47,56,43,13,0,324
48,183,112,64,7,323
49,74,49,21,4,323
50,64,47,15,2,323
51,87,57,28,2,322
52,295,161,131,3,321
53,140,80,50,10,320
54,82,59,21,2,319
55,88,60,28,0,310
56,30,28,2,0,310
57,57,41,15,1,305
58,83,48,26,9,300
59,114,76,37,1,297
60,123,84,39,0,296
61,92,58,33,1,293
62,97,69,27,1,292
63,41,31,10,0,292
64,132,75,53,4,289
65,60,43,17,0,289
66,202,118,73,11,288
67,90,57,31,2,288
68,79,52,27,0,287
69,99,61,36,2,284
70,48,37,10,1,284
71,46,35,11,0,284
72,38,24,4,10,284
73,136,77,55,4,283
74,124,66,55,3,283
75,84,55,27,2,283
76,111,71,36,4,282
77,618,349,264,5,281
78,92,54,37,1,281
79,48,35,12,1,281
80,254,148,103,3,279
81,146,76,68,2,279
82,133,72,59,2,279
83,101,63,34,4,279
84,59,41,17,1,279
85,61,42,19,0,278
86,88,52,33,3,276
87,32,26,5,1,276
88,32,25,7,0,275
89,191,100,87,4,275
90,43,32,10,1,275
91,189,114,72,3,274
92,188,97,86,5,274
93,39,29,10,0,274
94,42,28,12,2,274
95,158,86,69,3,272
96,93,58,33,2,272
97,73,38,35,0,272
98,213,115,94,4,270
99,75,49,25,1,269
100,27,24,3,0,269
101,20,19,0,1,269
102,137,85,49,3,268
103,44,32,11,1,268
104,25,21,4,0,268
105,143,83,58,2,267
106,47,31,14,2,266
107,72,48,20,4,265
108,93,61,29,3,264
109,65,39,24,2,264
110,36,28,6,2,263
111,29,23,6,0,263
112,163,96,43,24,262
113,143,83,56,4,262
114,24,20,2,2,262
115,65,42,22,1,261
116,60,39,20,1,261
117,40,31,8,1,261
118,36,25,11,0,260
119,47,28,17,2,258
120,123,77,43,3,257
121,94,58,33,3,256
122,104,56,45,3,256
123,41,28,11,2,256
124,137,83,54,0,255
125,72,43,25,4,254
126,45,30,12,3,253
127,109,62,44,3,252
128,25,22,2,1,252
129,159,91,66,2,251
130,50,32,17,1,251
131,49,30,18,1,251
132,134,77,49,8,249
133,98,59,37,2,249
134,106,59,45,2,249
135,49,30,18,1,249
136,70,43,21,6,248
137,62,41,20,1,247
138,74,46,26,2,246
139,38,20,17,1,245
140,172,97,71,4,244
141,80,49,31,0,244
142,25,19,5,1,244
143,120,66,52,2,242
144,76,42,33,1,242
145,73,41,31,1,242
146,45,29,14,2,242
147,247,132,112,3,241
148,119,71,45,3,241
149,80,49,30,1,241
150,164,92,72,0,240
151,98,56,39,3,240
152,75,46,25,4,240
153,49,29,19,1,240
154,72,44,26,2,239
155,152,90,60,2,238
156,82,49,31,2,238
157,173,95,76,2,237
158,71,42,28,1,237
159,71,40,29,2,237
160,54,31,21,2,237
161,78,46,32,0,236
162,32,22,8,2,236
163,94,56,36,2,235
164,79,44,34,1,235
165,28,19,6,3,235
166,200,112,82,6,234
167,86,48,34,4,234
168,30,21,7,2,234
169,233,132,93,8,233
