RANK,BATTLES,WIN,LOSE,DRAW,SCORE
1,263,255,6,2,807
2,272,247,20,5,707
3,240,194,36,10,576
4,171,139,28,4,574
5,158,129,25,4,573
5,510,345,154,11,573
5,203,152,44,7,573
6,79,67,9,3,475
7,93,79,13,1,461
8,145,112,29,4,458
9,173,118,50,5,451
10,107,84,19,4,450
11,82,62,17,3,425
12,81,66,15,0,418
12,100,73,26,1,418
13,186,141,35,10,408
14,47,44,2,1,389
14,58,53,5,0,389
15,149,103,37,9,386
16,84,66,16,2,384
17,125,93,26,6,383
18,438,245,186,7,379
19,79,55,19,5,377
20,342,198,136,8,376
21,69,60,6,3,370
22,126,85,33,8,365
22,46,45,1,0,365
23,117,76,34,7,363
23,90,65,24,1,363
24,83,61,20,2,358
25,136,88,43,5,356
26,149,87,57,5,355
26,42,37,2,3,355
27,190,116,71,3,351
28,62,53,9,0,347
29,284,162,115,7,341
30,56,43,5,8,340
31,239,151,75,13,338
32,73,52,21,0,337
32,191,130,59,2,337
33,101,72,26,3,335
34,63,46,17,0,333
34,91,64,24,3,333
35,48,36,11,1,331
36,62,47,15,0,329
37,182,118,59,5,327
38,259,152,97,10,325
39,182,112,60,10,324
39,114,78,33,3,324
40,89,57,30,2,322
40,185,114,66,5,322
41,82,59,23,0,321
42,69,50,19,0,319
43,46,38,6,2,316
44,45,33,9,3,314
45,80,53,25,2,312
45,77,47,13,17,312
46,183,105,75,3,311
46,31,27,4,0,311
46,118,81,36,1,311
46,110,69,40,1,311
47,68,46,19,3,310
47,184,109,71,4,310
48,62,41,19,2,309
48,53,38,5,10,309
48,36,30,4,2,309
48,89,58,30,1,309
49,176,96,75,5,308
49,48,38,10,0,308
50,118,68,49,1,307
50,111,66,42,3,307
50,152,84,67,1,307
51,56,44,11,1,306
52,74,43,30,1,304
53,155,71,18,66,297
54,121,75,39,7,296
55,176,116,56,4,295
56,148,96,50,2,294
57,45,35,8,2,293
58,82,52,24,6,292
59,113,69,35,9,291
60,222,136,77,9,289
60,160,84,74,2,289
61,64,45,18,1,288
61,149,93,52,4,288
62,44,33,10,1,287
62,212,101,110,1,287
63,116,76,39,1,283
64,49,34,12,3,282
64,128,78,50,0,282
65,154,87,65,2,275
65,223,136,83,4,275
66,110,64,44,2,274
67,52,35,17,0,273
68,71,47,23,1,269
69,78,48,27,3,268
69,57,37,19,1,268
69,102,57,43,2,268
70,34,24,10,0,267
70,62,41,18,3,267
70,223,132,90,1,267
70,37,25,11,1,267
70,101,63,37,1,267
71,52,36,15,1,266
72,26,22,3,1,264
72,56,35,14,7,264
72,75,46,26,3,264
73,37,28,9,0,263
73,104,65,37,2,263
73,40,30,9,1,263
74,70,44,26,0,262
75,69,41,25,3,261
76,57,34,21,2,260
77,39,29,9,1,259
77,40,25,7,8,259
78,21,19,2,0,258
78,45,29,14,2,258
79,100,57,39,4,257
79,62,41,21,0,257
80,46,30,16,0,256
80,97,59,35,3,256
81,33,21,11,1,255
81,35,26,9,0,255
81,46,26,19,1,255
81,84,47,33,4,255
82,113,64,49,0,254
83,113,60,48,5,253
83,168,87,77,4,253
84,58,36,20,2,252
85,45,29,14,2,251
85,42,30,11,1,251
85,66,41,22,3,251
85,155,84,67,4,251
86,71,43,27,1,250
86,57,34,21,2,250
87,24,20,1,3,249
87,63,42,20,1,249
87,24,20,1,3,249
88,63,42,20,1,248
89,179,101,75,3,247
90,130,71,54,5,246
90,216,118,88,10,246
90,152,79,69,4,246
90,85,48,34,3,246
90,64,35,25,4,246
90,164,91,68,5,246
91,70,38,32,0,245
91,36,25,10,1,245
91,106,61,39,6,245
92,131,70,57,4,244
92,22,19,3,0,244
93,48,31,17,0,243
93,101,64,35,2,243
93,34,24,10,0,243
93,81,49,29,3,243
93,130,68,61,1,243
93,195,102,88,5,243
93,165,87,73,5,243
94,226,129,92,5,242
94,64,43,21,0,242
95,160,86,70,4,241
95,136,77,57,2,241
95,135,83,51,1,241
95,130,73,53,4,241
95,76,44,26,6,241
96,135,76,57,2,240
96,234,131,100,3,240
96,165,90,66,9,240
96,195,117,75,3,240
96,261,143,111,7,240
96,195,109,86,0,240
96,270,147,116,7,240
96,55,34,19,2,240
97,85,53,28,4,239
97,42,26,16,0,239
97,35,24,10,1,239
97,112,58,48,6,239
97,159,86,67,6,239
98,26,19,6,1,238
98,75,38,36,1,238
98,230,118,100,12,238
98,57,33,23,1,238
98,45,30,14,1,238
99,64,40,23,1,237
99,59,37,21,1,237
99,42,28,13,1,237
99,50,29,20,1,237
99,168,89,77,2,237
100,168,90,74,4,236
100,120,61,58,1,236
100,44,28,15,1,236
100,48,31,14,3,236
101,52,30,21,1,235
101,69,40,27,2,235
101,101,58,39,4,235
101,77,41,34,2,235
101,210,109,78,23,235
101,206,111,92,3,235
101,112,61,50,1,235
101,110,58,50,2,235
102,22,17,2,3,234
102,105,60,43,2,234
102,75,42,28,5,234
102,139,77,60,2,234
102,43,30,12,1,234
102,28,21,6,1,234
102,30,22,7,1,234
